time,place,magnitude,longitude,latitude,depth_km
2016-02-08 11:21:43.780,"13 km NNE of Al Hoceïma, Morocco",4.2,-3.8782,35.3652,8.47
2016-02-05 09:04:41.120,"40 km N of Al Hoceïma, Morocco",4.3,-3.8796,35.6181,10.0
2016-02-05 09:02:59.050,"40 km NNE of Al Hoceïma, Morocco",4.4,-3.7731,35.5909,10.0
2016-02-03 21:27:49.390,"43 km NNE of Al Hoceïma, Morocco",4.0,-3.7462,35.6091,10.0
2016-02-01 23:50:48.860,"23 km NNE of Al Hoceïma, Morocco",4.2,-3.8528,35.4566,10.0
2016-01-31 16:25:27.440,"17 km S of Adra, Spain",4.9,-3.0498,36.5911,10.0
2016-01-29 01:16:20.570,"22 km NNE of Al Hoceïma, Morocco",4.1,-3.8032,35.4263,10.0
2016-01-28 19:48:51.250,"24 km NNE of Al Hoceïma, Morocco",4.5,-3.821,35.452,10.0
2016-01-27 21:57:49.590,"38 km NNE of Al Hoceïma, Morocco",4.3,-3.7851,35.5796,10.0
2016-01-27 06:32:07.970,"57 km NE of Al Hoceïma, Morocco",4.9,-3.568,35.6728,10.0
2016-01-26 04:35:59.240,"37 km NE of Al Hoceïma, Morocco",4.5,-3.6992,35.5265,10.0
2016-01-26 01:16:45.990,"26 km N of Al Hoceïma, Morocco",4.1,-3.9411,35.4901,1.2
2016-01-25 18:17:33.430,"40 km NNE of Al Hoceïma, Morocco",4.1,-3.7694,35.5913,10.0
2016-01-25 16:02:43.560,"34 km NNE of Al Hoceïma, Morocco",4.3,-3.7839,35.5363,10.0
2016-01-25 14:52:42.740,"62 km NNE of Al Hoceïma, Morocco",4.9,-3.5856,35.739,10.0
2016-01-25 11:29:23.070,"31 km NNE of Al Hoceïma, Morocco",4.4,-3.7475,35.4901,21.43
2016-01-25 08:25:06.100,"40 km NE of Al Hoceïma, Morocco",4.7,-3.6703,35.5453,10.0
2016-01-25 08:15:29.050,"54 km NNE of Al Hoceïma, Morocco",4.1,-3.6741,35.6955,10.0
2016-01-25 07:55:15.780,"28 km NNE of Al Hoceïma, Morocco",4.2,-3.8394,35.4917,10.0
2016-01-25 06:10:41.960,"28 km N of Al Hoceïma, Morocco",5.2,-3.8783,35.5051,10.0
2016-01-25 05:54:05.460,"29 km NNE of Al Hoceïma, Morocco",5.1,-3.7734,35.4764,10.0
2016-01-25 05:37:11.890,"29 km NNE of Al Hoceïma, Morocco",4.2,-3.8211,35.4992,10.0
2016-01-25 05:03:46.300,"50 km NNE of Al Hoceïma, Morocco",4.7,-3.7449,35.6749,10.0
2016-01-25 04:34:19.170,"51 km NNE of Al Hoceïma, Morocco",5.3,-3.723,35.6805,10.0
2016-01-25 04:30:55.190,"39 km NNE of Al Hoceïma, Morocco",5.0,-3.8166,35.5953,10.0
2016-01-25 04:22:02.730,"49 km NNE of Al Hoceïma, Morocco",6.3,-3.6818,35.6493,12.0
2016-01-21 13:47:19.860,"48 km NNE of Al Hoceïma, Morocco",5.1,-3.6499,35.6247,10.0
